account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
1,1,13,Savings,2025-11-17,3553.79,Active
2,1,13,Fixed Deposit,2025-11-10,15819.34,Active
3,1,13,Business,2025-11-12,7523.99,Active
4,2,8,Savings,2024-01-19,932.89,Active
5,3,13,Savings,2024-11-02,736.34,Active
6,4,3,Savings,2024-01-18,4345.07,Active
7,5,11,Savings,2025-01-25,670.67,Active
8,5,11,Fixed Deposit,2025-01-08,3680.66,Active
9,6,9,Payroll,2024-09-19,364.05,Active
10,7,14,Savings,2025-11-05,958.95,Active
11,8,1,Savings,2025-09-27,2564.62,Active
12,8,1,Payroll,2025-10-03,1175.15,Active
13,9,5,Savings,2024-05-15,388.77,Active
14,10,2,Savings,2024-07-18,446.86,Active
15,10,2,Fixed Deposit,2024-07-25,2445.67,Active
16,11,8,Savings,2025-06-14,2323.43,Active
17,11,8,Payroll,2025-07-05,511.22,Active
18,12,8,Savings,2025-04-13,917.98,Active
19,12,8,Fixed Deposit,2025-04-29,3338.34,Active
20,13,7,Savings,2025-07-27,2999.29,Active
21,13,7,Business,2025-08-07,5286.42,Active
22,14,1,Savings,2023-09-27,657.97,Active
23,14,1,Fixed Deposit,2023-09-29,1247.17,Active
24,14,1,Payroll,2023-09-17,251.39,Active
25,15,4,Savings,2024-10-25,919.89,Active
26,16,6,Savings,2025-01-11,1862.72,Closed
27,16,6,Business,2025-01-24,6681.98,Active
28,17,3,Savings,2026-01-05,999.57,Active
29,17,3,Payroll,2026-01-17,412.63,Active
30,18,1,Savings,2025-08-30,3067.44,Active
31,18,1,Business,2025-08-15,3570.39,Active
32,19,14,Savings,2024-04-24,1155.91,Active
33,19,14,Fixed Deposit,2024-04-25,5522.33,Active
34,20,3,Savings,2024-05-14,1667.73,Active
35,20,3,Fixed Deposit,2024-05-15,8954.52,Active
36,20,3,Business,2024-06-09,7188.84,Active
37,21,2,Savings,2023-11-13,1746.63,Active
38,21,2,Payroll,2023-11-26,973.99,Active
39,22,18,Savings,2023-05-04,680.5,Active
40,22,18,Fixed Deposit,2023-05-31,7240.13,Active
41,23,3,Savings,2025-04-25,1285.27,Active
42,24,15,Savings,2023-10-22,553.98,Active
43,25,12,Savings,2024-10-06,982.26,Active
44,26,6,Fixed Deposit,2024-07-11,5698.0,Active
45,27,5,Savings,2024-07-25,4367.05,Closed
46,27,5,Business,2024-07-10,25101.82,Dormant
47,28,13,Savings,2024-09-02,1932.19,Active
48,28,13,Payroll,2024-08-28,472.68,Active
49,29,17,Savings,2025-11-08,541.2,Active
50,29,17,Payroll,2025-12-07,333.47,Active
51,30,1,Savings,2025-08-09,1909.3,Active
52,30,1,Payroll,2025-08-14,963.62,Active
53,31,5,Savings,2025-07-26,1378.65,Active
54,31,5,Payroll,2025-07-22,679.3,Active
55,32,5,Savings,2025-09-23,3535.3,Active
56,32,5,Fixed Deposit,2025-10-15,17090.3,Active
57,32,5,Business,2025-09-27,10998.26,Dormant
58,33,15,Savings,2024-05-19,2407.48,Active
59,33,15,Business,2024-05-30,2673.48,Active
60,35,2,Savings,2023-10-29,1223.27,Active
61,36,12,Savings,2025-04-16,678.94,Active
62,37,10,Savings,2025-03-07,507.7,Active
63,37,10,Payroll,2025-03-15,242.94,Active
64,38,18,Savings,2024-07-01,2574.76,Active
65,38,18,Fixed Deposit,2024-06-27,9372.09,Active
66,38,18,Payroll,2024-06-26,546.61,Active
67,39,8,Savings,2025-05-16,1960.8,Active
68,39,8,Business,2025-06-05,6574.36,Active
69,40,9,Savings,2025-10-11,259.3,Active
70,41,11,Savings,2025-03-30,1684.92,Active
71,41,11,Payroll,2025-04-29,1171.35,Active
72,42,15,Savings,2025-11-27,472.71,Active
73,42,15,Fixed Deposit,2025-12-01,3343.7,Active
74,42,15,Payroll,2025-11-29,507.4,Active
75,43,4,Savings,2025-06-18,1687.26,Active
76,45,2,Savings,2024-04-23,6000.64,Active
77,45,2,Business,2024-05-21,13980.85,Active
78,46,7,Savings,2025-11-19,869.17,Active
79,47,13,Savings,2024-10-31,2077.45,Active
80,47,13,Business,2024-11-07,9673.76,Active
81,48,14,Savings,2023-07-04,3497.32,Active
82,48,14,Business,2023-07-09,11013.11,Active
83,49,1,Savings,2024-03-30,564.47,Active
84,50,17,Savings,2023-11-17,363.08,Active
85,50,17,Payroll,2023-11-30,214.78,Active
86,51,7,Savings,2023-02-26,244.82,Active
87,52,17,Savings,2025-12-19,1671.0,Active
88,53,2,Savings,2025-08-20,1014.32,Active
89,53,2,Payroll,2025-08-06,550.73,Active
90,54,18,Savings,2023-01-24,753.4,Active
91,55,8,Savings,2025-08-16,331.64,Active
92,55,8,Payroll,2025-09-09,480.4,Active
93,56,17,Savings,2025-07-23,2001.14,Dormant
94,56,17,Payroll,2025-08-06,1296.29,Active
95,57,9,Savings,2023-03-15,276.02,Active
96,58,10,Savings,2025-05-07,2823.72,Dormant
97,58,10,Payroll,2025-05-07,2229.95,Active
98,59,7,Fixed Deposit,2024-07-21,9836.62,Active
99,59,7,Payroll,2024-07-24,1095.02,Active
100,60,4,Savings,2025-11-08,837.42,Active
101,61,5,Savings,2026-01-08,561.98,Dormant
102,62,6,Savings,2023-08-20,155.29,Closed
103,63,16,Savings,2025-11-01,337.75,Closed
104,63,16,Payroll,2025-11-02,507.09,Active
105,64,8,Savings,2024-02-15,3101.28,Active
106,64,8,Business,2024-01-20,26128.75,Active
107,65,15,Savings,2025-04-27,78.7,Active
108,66,18,Savings,2025-03-25,2098.82,Active
109,67,3,Savings,2024-06-06,6318.3,Active
110,67,3,Fixed Deposit,2024-06-26,13552.38,Active
111,67,3,Business,2024-06-19,19810.9,Active
112,68,6,Savings,2025-11-17,562.6,Active
113,69,3,Savings,2023-06-07,2394.52,Active
114,69,3,Fixed Deposit,2023-06-26,6936.23,Active
115,70,12,Savings,2025-04-07,361.11,Active
116,71,14,Payroll,2024-12-03,770.45,Active
117,72,13,Savings,2024-09-07,1719.04,Active
118,72,13,Payroll,2024-08-29,689.54,Dormant
119,73,8,Savings,2025-10-10,1498.26,Active
120,73,8,Fixed Deposit,2025-10-11,4173.91,Active
121,74,17,Savings,2024-05-28,506.99,Active
122,74,17,Payroll,2024-05-22,227.25,Active
123,75,6,Savings,2024-10-25,483.79,Active
124,75,6,Payroll,2024-10-16,879.18,Active
125,76,18,Savings,2025-07-04,831.25,Active
126,77,11,Savings,2025-12-19,1079.19,Active
127,77,11,Payroll,2025-12-24,947.83,Dormant
128,78,13,Savings,2024-10-31,2530.34,Active
129,79,16,Savings,2024-03-02,940.56,Active
130,79,16,Fixed Deposit,2024-03-04,7641.11,Active
131,79,16,Business,2024-03-23,10982.2,Active
132,80,7,Savings,2025-09-03,1411.36,Active
133,80,7,Fixed Deposit,2025-09-01,2178.49,Active
134,82,13,Savings,2025-06-14,1724.73,Active
135,82,13,Payroll,2025-06-24,396.94,Active
136,83,8,Savings,2025-01-16,470.76,Active
137,84,11,Savings,2024-09-28,2275.21,Active
138,84,11,Payroll,2024-10-18,443.49,Active
139,85,10,Savings,2025-06-19,343.48,Active
140,85,10,Payroll,2025-06-19,287.12,Active
141,86,2,Savings,2023-08-14,2181.89,Active
142,86,2,Fixed Deposit,2023-08-02,13334.22,Active
143,86,2,Business,2023-07-27,10200.82,Active
144,87,18,Savings,2025-05-05,1326.08,Active
145,88,5,Savings,2024-05-14,5571.21,Active
146,88,5,Business,2024-05-21,18645.69,Active
147,89,7,Savings,2025-04-09,463.84,Active
148,89,7,Payroll,2025-03-30,412.17,Active
149,90,7,Savings,2025-05-27,4006.57,Active
