customer_id,credit_score,risk_category,debt_to_income_ratio,previous_delinquency_count
1,635,Medium Risk,0.3475,1
2,732,Low Risk,0.4138,0
3,585,Medium Risk,0.4425,3
4,850,Very Low Risk,0.2626,0
5,584,Medium Risk,0.517,1
6,682,Low Risk,0.4291,1
7,685,Low Risk,0.3496,1
8,645,Medium Risk,0.3842,0
9,602,Medium Risk,0.2912,1
10,723,Low Risk,0.1876,1
11,688,Low Risk,0.1694,0
12,670,Low Risk,0.4351,0
13,850,Very Low Risk,0.2426,0
14,566,Medium Risk,0.1758,1
15,483,High Risk,0.2521,2
16,809,Very Low Risk,0.3582,0
17,765,Very Low Risk,0.1749,0
18,832,Very Low Risk,0.3244,0
19,730,Low Risk,0.2297,0
20,831,Very Low Risk,0.24,0
21,782,Very Low Risk,0.3159,0
22,708,Low Risk,0.4513,1
23,643,Medium Risk,0.1629,2
24,597,Medium Risk,0.4008,2
25,634,Medium Risk,0.3544,0
26,735,Low Risk,0.3491,0
27,623,Medium Risk,0.1577,0
28,673,Low Risk,0.1966,0
29,740,Low Risk,0.1436,1
30,750,Very Low Risk,0.2321,0
31,667,Low Risk,0.3507,1
32,726,Low Risk,0.2516,0
33,829,Very Low Risk,0.2251,0
34,619,Medium Risk,0.027,3
35,672,Low Risk,0.1726,0
36,750,Very Low Risk,0.3785,0
37,635,Medium Risk,0.2524,0
38,670,Low Risk,0.2628,1
39,667,Low Risk,0.3905,1
40,709,Low Risk,0.2196,1
41,764,Very Low Risk,0.4226,1
42,685,Low Risk,0.2089,0
43,570,Medium Risk,0.2823,3
44,730,Low Risk,0.2377,1
45,800,Very Low Risk,0.3642,0
46,584,Medium Risk,0.2728,2
47,708,Low Risk,0.296,0
48,781,Very Low Risk,0.3371,0
49,679,Low Risk,0.3223,0
50,548,High Risk,0.1578,2
51,481,High Risk,0.0512,4
52,639,Medium Risk,0.3615,1
53,607,Medium Risk,0.3364,1
54,557,Medium Risk,0.5314,1
55,731,Low Risk,0.0831,1
56,674,Low Risk,0.522,0
57,480,High Risk,0.0801,3
58,764,Very Low Risk,0.2975,0
59,761,Very Low Risk,0.3805,0
60,565,Medium Risk,0.1631,1
61,645,Medium Risk,0.4025,0
62,564,Medium Risk,0.3908,2
63,691,Low Risk,0.1431,1
64,850,Very Low Risk,0.1594,0
65,478,High Risk,0.2489,2
66,644,Medium Risk,0.5288,1
67,779,Very Low Risk,0.2788,0
68,701,Low Risk,0.1741,1
69,685,Low Risk,0.2958,1
70,703,Low Risk,0.4369,1
71,715,Low Risk,0.4574,0
72,639,Medium Risk,0.2264,0
73,704,Low Risk,0.2495,1
74,604,Medium Risk,0.205,2
75,603,Medium Risk,0.1552,0
76,539,High Risk,0.169,2
77,642,Medium Risk,0.4936,2
78,614,Medium Risk,0.4498,1
79,713,Low Risk,0.2148,1
80,715,Low Risk,0.2033,0
81,654,Low Risk,0.4049,3
82,628,Medium Risk,0.4124,3
83,706,Low Risk,0.4619,0
84,588,Medium Risk,0.4325,3
85,579,Medium Risk,0.1495,2
86,843,Very Low Risk,0.2854,0
87,679,Low Risk,0.58,2
88,640,Medium Risk,0.1562,0
89,775,Very Low Risk,0.3498,0
90,784,Very Low Risk,0.2132,0
91,786,Very Low Risk,0.4365,0
92,584,Medium Risk,0.5199,2
93,709,Low Risk,0.5031,0
94,736,Low Risk,0.1991,0
95,782,Very Low Risk,0.1431,0
