payment_id,loan_id,payment_date,amount_due,amount_paid,days_past_due
1,1,2024-05-26,145.4,145.4,0
2,1,2024-06-25,145.4,145.4,0
3,1,2024-07-23,145.4,145.4,0
4,1,2024-09-05,145.4,139.18,9
5,1,2024-09-27,145.4,145.4,0
6,1,2024-10-25,145.4,145.4,0
7,1,2024-11-24,145.4,145.4,0
8,1,2024-12-24,145.4,145.4,0
9,1,2025-01-27,145.4,145.4,0
10,1,2025-02-22,145.4,145.4,0
11,1,2025-03-25,145.4,145.4,0
12,1,2025-04-23,145.4,145.4,0
13,1,2025-05-26,145.4,145.4,0
14,1,2025-06-22,145.4,145.4,0
15,1,2025-07-28,145.4,145.4,0
16,1,2025-08-27,145.4,145.4,0
17,1,2025-09-23,145.4,145.4,0
18,1,2025-10-25,145.4,145.4,0
19,1,2025-11-23,145.4,145.4,0
20,1,2025-12-24,145.4,145.4,0
21,2,2025-06-28,449.86,449.86,0
22,2,2025-07-22,449.86,449.86,0
23,2,2025-08-25,449.86,449.86,0
24,2,2025-09-26,449.86,449.86,0
25,2,2025-10-25,449.86,449.86,0
26,2,2025-11-28,449.86,449.86,0
27,2,2026-02-03,449.86,387.99,39
28,3,2024-06-26,956.21,956.21,0
29,3,2024-07-27,956.21,956.21,0
30,3,2024-08-24,956.21,956.21,0
31,3,2024-09-26,956.21,956.21,0
32,3,2024-10-22,956.21,956.21,0
33,3,2024-11-27,956.21,956.21,0
34,3,2024-12-27,956.21,956.21,0
35,3,2025-01-23,956.21,956.21,0
36,3,2025-02-27,956.21,956.21,0
37,3,2025-03-22,956.21,956.21,0
38,3,2025-04-22,956.21,956.21,0
39,3,2025-05-26,956.21,956.21,0
40,3,2025-06-25,956.21,956.21,0
41,3,2025-07-26,956.21,956.21,0
42,3,2025-08-26,956.21,956.21,0
43,3,2025-09-27,956.21,956.21,0
44,3,2025-10-24,956.21,956.21,0
45,3,2025-11-28,956.21,956.21,0
46,3,2025-12-23,956.21,956.21,0
47,5,2025-11-22,234.52,234.52,0
48,5,2025-12-23,234.52,234.52,0
49,6,2025-03-28,120.51,120.51,0
50,6,2025-04-24,120.51,120.51,0
51,6,2025-05-25,120.51,120.51,0
52,6,2025-06-27,120.51,120.51,0
53,6,2025-07-24,120.51,120.51,0
