loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,issue_date,maturity_date,outstanding_balance,loan_status
1,2,8,Agriculture Loan,5471.14,12.49,48,2024-05-25,2028-05-25,3400.04,Current
2,3,13,Agriculture Loan,5093.95,10.85,12,2025-06-13,2026-06-13,2532.56,Current
3,4,3,Vehicle Loan,19888.2,14.14,24,2024-06-29,2026-06-29,5206.08,Past Due
4,6,9,Housing Loan,24986.94,9.87,144,2024-10-28,2036-10-28,23109.78,Defaulted
5,7,14,Vehicle Loan,7025.28,12.35,36,2025-11-21,2028-11-21,6813.54,Current
6,10,2,Agriculture Loan,3568.52,13.16,36,2025-03-26,2028-03-26,2757.96,Current
7,11,8,Personal Loan,5863.57,12.84,48,2025-07-11,2029-07-11,5403.5,Current
8,15,4,Housing Loan,49688.27,8.56,168,2025-01-02,2039-01-02,46440.1,Current
9,18,1,SME Loan,30000.06,13.36,72,2025-09-12,2031-09-12,27929.49,Current
10,20,3,SME Loan,34016.45,10.35,84,2024-09-26,2031-09-26,28101.44,Current
11,22,18,Housing Loan,39115.5,8.67,216,2024-02-11,2042-02-11,34997.58,Current
12,23,3,Agriculture Loan,4347.5,9.76,24,2025-06-12,2027-06-12,3195.91,Current
13,24,15,Vehicle Loan,8135.99,10.59,24,2024-05-23,2026-05-23,1655.31,Defaulted
14,27,5,Housing Loan,105153.74,9.09,72,2024-09-08,2030-09-08,80768.98,Current
15,28,13,Housing Loan,35854.28,11.03,216,2025-02-05,2043-02-05,34481.93,Current
16,29,17,Vehicle Loan,5212.62,12.08,60,2025-12-08,2030-12-08,5027.32,Current
17,30,1,Personal Loan,15208.49,13.02,24,2025-09-07,2027-09-07,13428.41,Current
18,32,5,Vehicle Loan,19382.19,13.91,24,2025-10-23,2027-10-23,18544.89,Current
19,33,15,SME Loan,19292.15,11.6,84,2024-10-10,2031-10-10,15307.7,Current
20,36,12,Personal Loan,12222.36,12.65,36,2025-06-06,2028-06-06,10416.5,Current
21,37,10,Personal Loan,3517.72,17.5,48,2025-06-27,2029-06-27,3038.27,Past Due
22,39,8,SME Loan,27883.68,15.72,60,2025-06-15,2030-06-15,26189.58,Current
23,40,9,Agriculture Loan,4968.63,13.96,24,2025-10-25,2027-10-25,4732.57,Past Due
24,41,11,Housing Loan,20256.81,11.09,120,2025-05-19,2035-05-19,19545.92,Current
25,43,4,Housing Loan,16302.44,8.49,72,2025-07-15,2031-07-15,15321.09,Non-Performing
26,44,16,Vehicle Loan,11450.69,11.55,60,2025-07-24,2030-07-24,10122.68,Current
27,45,2,Housing Loan,98690.78,8.53,60,2025-02-19,2030-02-19,83839.98,Current
28,45,2,SME Loan,37132.7,14.82,24,2025-03-07,2027-03-07,22334.75,Past Due
29,46,7,Vehicle Loan,14443.55,12.44,36,2025-11-23,2028-11-23,13742.46,Non-Performing
30,47,13,Vehicle Loan,22798.02,13.17,48,2025-05-26,2029-05-26,20381.22,Current
31,50,17,Personal Loan,5757.65,16.71,60,2023-12-11,2028-12-11,3458.32,Current
32,52,17,Vehicle Loan,8010.27,14.34,48,2026-01-06,2030-01-06,7909.49,Current
33,56,17,Housing Loan,78994.13,8.95,96,2025-08-16,2033-08-16,72714.56,Current
34,58,10,Housing Loan,85258.23,11.3,84,2025-06-10,2032-06-10,76520.43,Current
35,59,7,Personal Loan,7474.03,12.69,36,2024-08-15,2027-08-15,3966.79,Current
36,61,5,Vehicle Loan,8023.79,12.52,36,2026-01-29,2029-01-29,7657.48,Current
37,62,6,Personal Loan,1318.21,13.5,48,2024-09-18,2028-09-18,894.82,Current
38,66,18,Agriculture Loan,10623.46,9.26,48,2025-05-21,2029-05-21,9439.58,Defaulted
39,71,14,Vehicle Loan,7487.51,12.68,36,2025-04-01,2028-04-01,5551.1,Current
40,72,13,Personal Loan,6246.09,14.87,12,2024-11-09,2025-11-09,0.0,Closed
41,73,8,Personal Loan,17250.16,14.28,12,2025-10-26,2026-10-26,14973.64,Current
42,74,17,Personal Loan,3914.11,15.21,48,2025-06-14,2029-06-14,3436.05,Current
43,75,6,Vehicle Loan,14797.08,13.67,24,2024-12-23,2026-12-23,7126.35,Current
44,76,18,Vehicle Loan,3090.72,10.42,48,2025-07-18,2029-07-18,2895.82,Past Due
45,77,11,Housing Loan,20602.32,11.18,204,2025-12-29,2042-12-29,20787.9,Current
46,79,16,SME Loan,41948.51,13.43,60,2024-11-03,2029-11-03,33122.91,Current
47,80,7,Housing Loan,12561.22,11.72,216,2025-09-24,2043-09-24,12582.3,Current
48,84,11,Personal Loan,7928.82,17.39,60,2025-05-01,2030-05-01,6744.13,Current
49,85,10,Personal Loan,5781.34,14.63,60,2025-07-05,2030-07-05,5327.65,Defaulted
50,87,18,SME Loan,10646.64,15.92,48,2025-05-15,2029-05-15,9412.78,Current
51,88,5,Housing Loan,80861.27,10.35,60,2025-02-25,2030-02-25,69577.08,Current
52,89,7,Personal Loan,10928.83,17.51,24,2025-06-09,2027-06-09,8507.44,Current
53,91,1,Vehicle Loan,4694.09,15.0,24,2024-12-12,2026-12-12,2440.23,Current
54,92,9,Housing Loan,21632.87,11.11,84,2025-03-08,2032-03-08,18419.16,Current
55,93,5,SME Loan,47451.37,13.64,84,2025-06-26,2032-06-26,42111.06,Current
56,99,2,Housing Loan,27120.28,8.5,96,2025-05-04,2033-05-04,25733.18,Current
57,101,1,Housing Loan,94890.25,9.08,72,2025-09-24,2031-09-24,86885.27,Current
58,101,1,SME Loan,34478.15,15.3,72,2025-09-24,2031-09-24,31692.54,Current
