snapshot_date,customer_id,account_balance,total_loan_balance,credit_score,risk_category
2024-01-01,14,2211.56,0.0,566,Medium Risk
2024-01-01,21,2910.57,0.0,782,Very Low Risk
2024-01-01,22,8115.35,34997.58,708,Low Risk
2024-01-01,24,646.05,0.0,597,Medium Risk
2024-01-01,35,1280.19,0.0,672,Low Risk
2024-01-01,48,14848.38,0.0,781,Very Low Risk
2024-01-01,50,645.73,3458.32,548,High Risk
2024-01-01,51,253.92,0.0,481,High Risk
2024-01-01,54,778.38,0.0,557,Medium Risk
2024-01-01,57,293.02,0.0,480,High Risk
2024-01-01,62,177.49,894.82,564,Medium Risk
2024-01-01,69,9589.83,0.0,685,Low Risk
2024-01-01,86,26079.64,0.0,843,Very Low Risk
2024-01-01,91,1959.99,2440.23,786,Very Low Risk
2024-01-01,92,1153.53,18419.16,584,Medium Risk
2024-01-01,96,4577.93,0.0,671,Low Risk
2024-01-01,100,875.71,0.0,751,Very Low Risk
2024-01-01,109,3891.27,3950.95,840,Very Low Risk
2024-01-01,115,9128.84,0.0,665,Low Risk
2024-01-01,122,11830.74,104994.44,664,Low Risk
2024-01-01,126,430.22,3883.69,680,Low Risk
2024-01-01,128,785.89,14757.24,742,Low Risk
2024-01-01,130,335.69,0.0,761,Very Low Risk
2024-01-01,131,3223.89,0.0,599,Medium Risk
2024-01-01,134,843.59,0.0,712,Low Risk
2024-01-01,138,32303.33,13957.26,827,Very Low Risk
2024-01-01,141,2933.67,34580.81,769,Very Low Risk
2024-01-01,143,970.31,0.0,606,Medium Risk
2024-01-01,149,13337.61,0.0,707,Low Risk
2024-01-01,150,1391.3,0.0,668,Low Risk
2024-01-01,158,1945.18,0.0,687,Low Risk
2024-01-01,159,449.45,0.0,670,Low Risk
2024-01-01,161,1122.06,0.0,684,Low Risk
2024-01-01,162,3935.56,14451.79,759,Very Low Risk
2024-01-01,170,489.44,2285.45,627,Medium Risk
2024-01-01,186,193.73,0.0,480,High Risk
2024-01-01,187,3147.84,0.0,654,Low Risk
2024-01-01,190,1770.23,10492.94,713,Low Risk
2024-01-01,194,1607.53,3367.31,705,Low Risk
2024-01-01,205,887.81,0.0,683,Low Risk
2024-01-01,209,17771.47,29268.85,800,Very Low Risk
2024-01-01,215,2903.23,0.0,649,Medium Risk
2024-01-01,223,2430.33,17272.68,769,Very Low Risk
2024-01-01,224,140.8,0.0,552,Medium Risk
2024-01-01,227,527.21,0.0,643,Medium Risk
2024-01-01,237,2829.66,366.76,704,Low Risk
2024-01-01,240,3141.7,3509.78,727,Low Risk
2024-01-01,271,548.74,0.0,603,Medium Risk
2024-01-01,272,1994.68,0.0,674,Low Risk
2024-01-01,275,836.51,0.0,594,Medium Risk
2024-01-01,283,2053.73,0.0,767,Very Low Risk
2024-01-01,284,1577.09,1336.11,528,High Risk
2024-01-01,285,148.78,0.0,540,High Risk
2024-01-01,288,25753.44,24927.62,763,Very Low Risk
2024-01-01,292,1396.64,10369.07,318,Very High Risk
2024-01-01,305,809.55,3358.69,679,Low Risk
2024-01-01,311,14352.54,55905.77,733,Low Risk
2024-01-01,316,6080.01,4182.66,700,Low Risk
2024-01-01,317,14469.92,0.0,829,Very Low Risk
2024-01-01,319,2376.82,13897.34,737,Low Risk
2024-01-01,332,2931.63,0.0,768,Very Low Risk
2024-01-01,338,10790.99,5231.29,719,Low Risk
2024-01-01,340,732.35,24488.36,798,Very Low Risk
2024-01-01,344,1333.03,5636.18,643,Medium Risk
2024-01-01,347,3996.79,18066.68,718,Low Risk
2024-01-01,351,1399.8,34916.42,640,Medium Risk
2024-01-01,354,18838.43,0.0,691,Low Risk
2024-01-01,358,4012.42,0.0,698,Low Risk
2024-01-01,359,181.42,1601.98,332,Very High Risk
2024-01-01,366,1899.3,4452.69,782,Very Low Risk
2024-01-01,371,444.7,0.0,838,Very Low Risk
2024-01-01,379,217.2,0.0,592,Medium Risk
2024-01-01,382,2063.07,3954.08,576,Medium Risk
2024-01-01,386,3897.1,0.0,698,Low Risk
2024-01-01,387,10574.78,46620.07,738,Low Risk
2024-01-01,391,2675.5,0.0,649,Medium Risk
2024-01-01,401,1444.69,0.0,672,Low Risk
2024-01-01,403,725.9,0.0,588,Medium Risk
2024-01-01,408,954.92,0.0,464,High Risk
2024-01-01,421,5448.83,0.0,614,Medium Risk
2024-01-01,424,2230.96,1855.84,733,Low Risk
2024-01-01,429,287.26,0.0,688,Low Risk
2024-01-01,430,370.63,0.0,571,Medium Risk
2024-01-01,434,5293.73,6709.69,529,High Risk
2024-01-01,435,493.17,0.0,586,Medium Risk
2024-01-01,437,1274.39,5694.54,602,Medium Risk
2024-01-01,440,1806.35,2799.09,787,Very Low Risk
2024-01-01,441,970.89,3402.91,724,Low Risk
2024-01-01,456,17143.16,26775.75,799,Very Low Risk
2024-01-01,458,1226.97,8031.2,820,Very Low Risk
2024-01-01,460,5515.4,15314.3,658,Low Risk
2024-01-01,464,1015.21,2357.1,762,Very Low Risk
2024-01-01,470,281.75,1646.17,664,Low Risk
2024-01-01,472,15895.38,18201.44,850,Very Low Risk
2024-01-01,475,2432.15,5125.03,703,Low Risk
2024-01-01,477,1280.86,0.0,824,Very Low Risk
2024-01-01,488,3024.12,4648.52,790,Very Low Risk
2024-01-01,489,550.36,0.0,635,Medium Risk
2024-01-01,501,583.21,1461.43,532,High Risk
2024-01-01,502,3433.21,449.73,716,Low Risk
2024-01-01,504,1424.13,0.0,731,Low Risk
2024-01-01,506,2796.88,0.0,651,Low Risk
2024-01-01,509,744.07,4545.79,605,Medium Risk
2024-01-01,513,26356.45,118579.75,844,Very Low Risk
2024-01-01,514,3910.16,0.0,658,Low Risk
2024-01-01,528,1218.43,0.0,530,High Risk
2024-01-01,535,1930.57,0.0,708,Low Risk
2024-01-01,550,15134.95,0.0,767,Very Low Risk
2024-01-01,559,24237.65,106431.2,841,Very Low Risk
2024-01-01,564,5535.4,1167.66,591,Medium Risk
2024-01-01,569,8634.13,0.0,673,Low Risk
2024-01-01,571,2179.85,5095.55,738,Low Risk
2024-01-01,573,2867.63,0.0,637,Medium Risk
2024-01-01,583,5568.69,19549.84,689,Low Risk
2024-01-01,586,1841.94,3755.08,617,Medium Risk
2024-01-01,591,1732.96,5865.96,730,Low Risk
2024-01-01,605,2669.01,0.0,685,Low Risk
2024-01-01,609,432.15,0.0,565,Medium Risk
2024-01-01,610,1564.99,0.0,688,Low Risk
2024-01-01,612,472.89,2178.37,592,Medium Risk
2024-01-01,614,3512.66,1659.08,805,Very Low Risk
2024-01-01,615,15589.9,0.0,629,Medium Risk
2024-01-01,632,442.73,0.0,463,High Risk
2024-01-01,634,1209.07,8131.21,565,Medium Risk
2024-01-01,638,5372.9,6214.93,699,Low Risk
2024-01-01,640,2370.41,0.0,653,Low Risk
2024-01-01,641,1056.79,0.0,577,Medium Risk
2024-01-01,642,1201.82,0.0,582,Medium Risk
2024-01-01,644,16872.74,0.0,658,Low Risk
2024-01-01,648,693.8,0.0,567,Medium Risk
2024-01-01,655,839.29,14490.97,581,Medium Risk
2024-01-01,676,2024.01,0.0,643,Medium Risk
2024-01-01,681,367.86,636.53,572,Medium Risk
2024-01-01,690,19080.11,0.0,850,Very Low Risk
2024-01-01,693,8673.23,2217.52,711,Low Risk
2024-01-01,697,22276.0,0.0,764,Very Low Risk
2024-01-01,699,1876.84,0.0,622,Medium Risk
2024-01-01,701,1875.81,37060.12,729,Low Risk
2024-01-01,702,2652.61,0.0,767,Very Low Risk
2024-01-01,716,7143.3,0.0,811,Very Low Risk
2024-01-01,718,684.55,1755.15,605,Medium Risk
2024-01-01,726,4074.41,2086.56,688,Low Risk
2024-01-01,730,929.43,2691.15,636,Medium Risk
2024-01-01,738,2454.41,10850.34,725,Low Risk
2024-01-01,740,4117.53,2753.21,598,Medium Risk
2024-01-01,745,486.65,0.0,630,Medium Risk
2024-01-01,746,1306.56,0.0,740,Low Risk
2024-01-01,758,14642.61,0.0,792,Very Low Risk
2024-01-01,761,16761.5,0.0,621,Medium Risk
2024-01-01,762,17296.39,0.0,779,Very Low Risk
2024-01-01,769,534.5,10591.05,554,Medium Risk
2024-01-01,775,2001.67,18593.49,653,Low Risk
2024-01-01,776,1244.78,0.0,599,Medium Risk
2024-01-01,786,1138.43,0.0,574,Medium Risk
2024-01-01,789,578.47,0.0,612,Medium Risk
2024-01-01,793,2234.79,0.0,705,Low Risk
2024-01-01,796,1177.31,4143.22,687,Low Risk
2024-01-01,797,454.88,0.0,633,Medium Risk
2024-01-01,809,964.24,0.0,585,Medium Risk
2024-01-01,816,781.71,0.0,593,Medium Risk
2024-01-01,819,792.05,2873.11,579,Medium Risk
2024-01-01,824,436.25,4444.78,569,Medium Risk
2024-01-01,826,423.24,0.0,669,Low Risk
2024-01-01,833,3701.97,0.0,770,Very Low Risk
2024-01-01,839,24091.92,5249.37,776,Very Low Risk
2024-01-01,843,1601.7,0.0,584,Medium Risk
2024-01-01,848,134.78,0.0,513,High Risk
2024-01-01,851,574.25,0.0,597,Medium Risk
2024-01-01,852,2566.77,0.0,602,Medium Risk
2024-01-01,853,17300.57,25577.08,752,Very Low Risk
2024-01-01,861,22201.56,0.0,789,Very Low Risk
2024-01-01,870,529.99,2852.09,591,Medium Risk
2024-01-01,872,8501.16,9320.91,671,Low Risk
2024-01-01,881,9949.24,6263.91,705,Low Risk
2024-01-01,897,646.19,0.0,603,Medium Risk
2024-01-01,900,3175.25,4403.3,730,Low Risk
2024-01-01,901,38309.24,0.0,728,Low Risk
2024-01-01,902,151.76,0.0,628,Medium Risk
2024-01-01,906,7960.21,6455.69,558,Medium Risk
2024-01-01,909,130.79,0.0,554,Medium Risk
2024-01-01,917,1382.45,1488.2,654,Low Risk
2024-01-01,922,1051.11,190.36,542,High Risk
2024-01-01,930,430.81,0.0,625,Medium Risk
2024-01-01,936,1738.04,1581.6,563,Medium Risk
2024-01-01,940,10980.51,0.0,635,Medium Risk
2024-01-01,943,1895.42,0.0,724,Low Risk
2024-01-01,947,197.81,0.0,668,Low Risk
2024-01-01,948,1321.74,0.0,682,Low Risk
2024-01-01,949,2988.18,7304.05,714,Low Risk
2024-01-01,950,5989.11,1608.88,829,Very Low Risk
2024-01-01,954,878.59,383.74,421,Very High Risk
2024-01-01,957,1222.01,0.0,580,Medium Risk
2024-01-01,958,2449.84,0.0,672,Low Risk
2024-01-01,961,744.2,5945.99,752,Very Low Risk
2024-01-01,967,421.3,0.0,692,Low Risk
2024-01-01,969,4909.57,59889.24,718,Low Risk
2024-01-01,971,13588.12,40352.66,673,Low Risk
2024-01-01,974,1564.84,0.0,564,Medium Risk
2024-01-01,977,1602.88,7853.25,717,Low Risk
2024-01-01,978,8071.42,0.0,753,Very Low Risk
2024-01-01,981,1509.88,0.0,694,Low Risk
2024-01-01,995,944.45,2853.31,640,Medium Risk
2024-01-01,1005,1644.56,0.0,680,Low Risk
2024-01-01,1006,953.42,60604.31,850,Very Low Risk
2024-01-01,1011,1436.74,4361.85,455,High Risk
2024-01-01,1012,8888.41,30017.1,850,Very Low Risk
2024-01-01,1019,21824.28,59156.5,791,Very Low Risk
2024-01-01,1020,6007.85,0.0,605,Medium Risk
2024-01-01,1024,978.1,0.0,673,Low Risk
2024-01-01,1027,606.49,3090.68,700,Low Risk
2024-01-01,1033,12520.9,131221.36,733,Low Risk
2024-01-01,1038,2183.92,11646.32,850,Very Low Risk
2024-01-01,1039,387.89,1950.05,556,Medium Risk
2024-01-01,1043,1365.23,2657.34,560,Medium Risk
2024-01-01,1046,4038.49,0.0,632,Medium Risk
2024-01-01,1049,142.92,0.0,632,Medium Risk
2024-01-01,1051,1772.04,5882.01,683,Low Risk
2024-01-01,1064,704.49,0.0,619,Medium Risk
2024-01-01,1070,14621.31,0.0,702,Low Risk
2024-01-01,1075,7979.81,0.0,597,Medium Risk
2024-01-01,1079,666.51,2685.44,580,Medium Risk
2024-01-01,1080,1255.39,0.0,674,Low Risk
2024-01-01,1082,639.69,0.0,755,Very Low Risk
2024-01-01,1083,16710.62,88638.11,712,Low Risk
2024-01-01,1095,131.81,0.0,508,High Risk
2024-01-01,1100,1419.18,0.0,719,Low Risk
2024-01-01,1102,869.19,3320.85,650,Low Risk
2024-01-01,1123,832.78,0.0,570,Medium Risk
2024-01-01,1127,1886.93,3095.71,655,Low Risk
2024-01-01,1129,18827.5,8290.67,731,Low Risk
2024-01-01,1132,263.74,0.0,608,Medium Risk
2024-01-01,1141,562.83,3064.79,683,Low Risk
2024-01-01,1144,2250.69,22060.15,726,Low Risk
2024-01-01,1145,872.38,0.0,646,Medium Risk
2024-01-01,1146,353.14,0.0,668,Low Risk
2024-01-01,1147,9168.35,5820.52,777,Very Low Risk
2024-01-01,1150,1969.87,0.0,638,Medium Risk
2024-01-01,1155,321.56,0.0,632,Medium Risk
2024-01-01,1156,577.42,0.0,643,Medium Risk
2024-01-01,1167,3704.0,0.0,676,Low Risk
2024-01-01,1188,1931.94,3244.07,697,Low Risk
2024-01-01,1191,1602.86,0.0,728,Low Risk
2024-01-01,1202,8950.29,0.0,834,Very Low Risk
2024-01-01,1204,313.98,17510.39,622,Medium Risk
2024-01-01,1210,18905.57,9150.16,767,Very Low Risk
2024-01-01,1215,480.15,0.0,425,Very High Risk
2024-01-01,1225,1182.33,0.0,738,Low Risk
2024-01-01,1226,580.83,0.0,562,Medium Risk
2024-01-01,1232,1813.53,3722.91,730,Low Risk
2024-01-01,1243,1871.75,41092.19,662,Low Risk
2024-01-01,1245,150.94,0.0,498,High Risk
2024-01-01,1253,1459.8,0.0,597,Medium Risk
2024-01-01,1258,556.68,2361.9,739,Low Risk
2024-01-01,1265,11517.44,14445.53,576,Medium Risk
2024-01-01,1267,1515.94,0.0,778,Very Low Risk
2024-01-01,1278,2118.92,5697.71,623,Medium Risk
2024-01-01,1279,15897.96,0.0,730,Low Risk
2024-01-01,1288,376.7,0.0,571,Medium Risk
2024-01-01,1305,1371.8,21714.85,780,Very Low Risk
2024-01-01,1309,1168.66,0.0,633,Medium Risk
2024-01-01,1311,397.98,1251.78,703,Low Risk
2024-01-01,1329,495.13,0.0,558,Medium Risk
2024-01-01,1331,4322.92,3200.05,602,Medium Risk
2024-01-01,1332,1671.77,0.0,684,Low Risk
2024-01-01,1333,2447.61,0.0,693,Low Risk
2024-01-01,1334,10569.98,8976.07,735,Low Risk
2024-01-01,1335,9926.13,0.0,691,Low Risk
2024-01-01,1338,21127.83,22430.27,837,Very Low Risk
2024-01-01,1342,56.18,0.0,615,Medium Risk
2024-01-01,1351,4804.81,0.0,594,Medium Risk
2024-01-01,1355,5157.49,1220.34,566,Medium Risk
2024-01-01,1357,695.25,0.0,619,Medium Risk
2024-01-01,1364,2478.18,29359.15,748,Low Risk
2024-01-01,1370,4515.58,15492.88,776,Very Low Risk
2024-01-01,1375,461.54,25772.69,766,Very Low Risk
2024-01-01,1387,8937.64,0.0,850,Very Low Risk
2024-01-01,1396,1213.92,1049.41,648,Medium Risk
2024-01-01,1417,819.1,2921.36,751,Very Low Risk
2024-01-01,1418,1918.5,0.0,609,Medium Risk
2024-01-01,1419,745.2,0.0,626,Medium Risk
2024-01-01,1435,9197.18,717.89,717,Low Risk
2024-01-01,1439,12849.78,10099.38,682,Low Risk
2024-01-01,1448,457.03,0.0,518,High Risk
2024-01-01,1452,1495.43,7288.9,793,Very Low Risk
2024-01-01,1460,4900.11,0.0,571,Medium Risk
2024-01-01,1471,1520.46,0.0,747,Low Risk
2024-01-01,1472,9207.46,0.0,756,Very Low Risk
2024-01-01,1475,3109.83,4896.22,745,Low Risk
2024-01-01,1489,3661.07,533.38,744,Low Risk
2024-01-01,1496,599.49,0.0,455,High Risk
2024-01-01,1503,608.17,0.0,632,Medium Risk
2024-01-01,1504,1493.24,0.0,750,Very Low Risk
2024-01-01,1505,1597.37,35184.42,634,Medium Risk
2024-01-01,1506,17415.94,0.0,700,Low Risk
2024-01-01,1512,3668.59,16991.75,632,Medium Risk
2024-01-01,1518,19492.76,9765.01,850,Very Low Risk
2024-01-01,1525,29803.18,0.0,717,Low Risk
2024-01-01,1534,565.65,1993.58,623,Medium Risk
2024-01-01,1538,15566.93,0.0,821,Very Low Risk
2024-01-01,1545,737.84,0.0,654,Low Risk
2024-01-01,1551,331.82,2981.41,592,Medium Risk
2024-01-01,1552,18440.79,0.0,768,Very Low Risk
2024-01-01,1560,773.63,0.0,655,Low Risk
2024-01-01,1562,22198.88,0.0,647,Medium Risk
2024-01-01,1566,1854.59,0.0,675,Low Risk
2024-01-01,1568,17125.35,0.0,850,Very Low Risk
2024-01-01,1575,1067.06,8315.08,740,Low Risk
2024-01-01,1586,7035.21,25747.18,669,Low Risk
2024-01-01,1603,6433.19,0.0,696,Low Risk
2024-01-01,1604,957.69,4877.42,668,Low Risk
2024-01-01,1609,949.1,1345.15,635,Medium Risk
2024-01-01,1611,1113.59,0.0,641,Medium Risk
2024-01-01,1626,27403.71,0.0,714,Low Risk
2024-01-01,1633,8421.96,0.0,655,Low Risk
2024-01-01,1644,5256.38,30403.77,635,Medium Risk
2024-01-01,1649,2499.16,0.0,659,Low Risk
2024-01-01,1650,1277.31,3466.81,817,Very Low Risk
2024-01-01,1656,412.16,0.0,659,Low Risk
2024-01-01,1662,583.03,2654.74,596,Medium Risk
2024-01-01,1670,5033.4,0.0,663,Low Risk
2024-01-01,1671,908.52,0.0,607,Medium Risk
2024-01-01,1679,977.27,8776.36,685,Low Risk
2024-01-01,1684,1402.19,35785.28,713,Low Risk
2024-01-01,1685,21133.19,3264.08,787,Very Low Risk
2024-01-01,1686,12936.78,0.0,669,Low Risk
2024-01-01,1691,971.65,10912.18,722,Low Risk
2024-01-01,1703,4694.02,44257.15,789,Very Low Risk
2024-01-01,1704,16198.59,25295.01,781,Very Low Risk
2024-01-01,1707,4171.65,26241.77,701,Low Risk
2024-01-01,1714,378.44,2071.41,577,Medium Risk
2024-01-01,1715,15171.49,5601.11,815,Very Low Risk
2024-01-01,1726,9334.37,28567.14,785,Very Low Risk
2024-01-01,1736,936.27,0.0,625,Medium Risk
2024-01-01,1748,8832.26,0.0,739,Low Risk
2024-01-01,1753,2702.65,23995.65,740,Low Risk
2024-01-01,1764,20970.33,27232.31,850,Very Low Risk
2024-01-01,1772,1108.9,3491.25,706,Low Risk
2024-01-01,1774,1056.67,0.0,665,Low Risk
2024-01-01,1778,2715.52,3744.4,717,Low Risk
